Ticket Number,License Plate Number,License Plate State,License Plate Type,Ticket Make,Issue Date,Violation Location,Violation Code,Violation Description,Badge,Unit,Ticket Queue,Hearing Dispo,Latitude,Longitude,Ward,Violation Street
57823105,1156TX,IL,TXI,FORD,2009-11-10 06:15:00,6305 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",17392,24,Paid,Did Not Challenge,41.99569,-87.675678,40,N RIDGE
58681323,2340TX,IL,TXI,FORD,2010-10-05 06:30:00,6830 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",14334,24,Dismissed,Not Liable,42.005558,-87.6804,50,N RIDGE
59012042,5008TX,IL,TXI,FORD,2010-12-29 06:31:00,7226 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",14334,24,Paid,Did Not Challenge,42.012758000000005,-87.683304,49,N RIDGE
58967102,5955TX,IL,TXI,FORD,2010-12-14 06:05:00,6359 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",17392,24,Paid,Liable,41.997262,-87.67639399999999,40,N RIDGE
59449376,2043TX,IL,TXI,FORD,2011-03-07 06:29:00,7054 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",14334,24,Paid,Did Not Challenge,42.009545,-87.682149,50,N RIDGE
59529103,1439TX,IL,TXI,FORD,2011-04-12 07:44:00,6819 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",14334,24,Paid,Did Not Challenge,42.005456,-87.680177,49,N RIDGE
59709892,5113TX,IL,TXI,FORD,2011-05-26 06:23:00,7330 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",14334,24,Paid,Did Not Challenge,42.014896,-87.684011,49,N RIDGE
60005334,1199TX,IL,TXI,FORD,2011-08-08 06:29:00,7309 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",14334,24,Paid,Did Not Challenge,42.014288,-87.683696,49,N RIDGE
60597387,28947TX,IL,TXI,FORD,2011-10-12 00:32:00,6338 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",4116,24,Paid,Denied,41.99664,-87.676293,40,N RIDGE
60154913,6104TX,IL,TXI,DODG,2011-09-26 07:15:00,6454 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",17392,24,Paid,Did Not Challenge,41.998979,-87.677328,50,N RIDGE
61059694,6487TX,IL,TXI,CHEV,2012-05-16 06:22:00,6959 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",14334,24,Dismissed,DOR Withdraw,42.007001,-87.680874,49,N RIDGE
61984220,2901TX,IL,TXI,DODG,2012-10-31 18:18:00,7022 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",18004,24,Paid,Did Not Challenge,42.009186,-87.68205400000001,50,N RIDGE
62037077,6160TX,IL,TXI,TOYT,2012-11-21 06:30:00,6076 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",18004,24,Dismissed,Not Liable,41.992048,-87.675151,40,N RIDGE
63217660,4662TX,IL,TXI,FORD,2013-05-09 12:10:00,6426 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",17392,24,Paid,Did Not Challenge,41.998439000000005,-87.677132,50,N RIDGE
63549358,3395TX,IL,TXI,SCIO,2013-08-08 09:05:00,6338 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",17392,24,Paid,Did Not Challenge,41.99664,-87.676293,40,N RIDGE
63389205,849TX,IL,TXI,NISS,2013-08-16 06:25:00,7321 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",18004,24,Paid,Did Not Challenge,42.014641,-87.683788,49,N RIDGE
63859791,4363TX,IL,TXI,FORD,2013-11-18 07:10:00,6920 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",17392,24,Define,Did Not Challenge,42.006598,-87.680894,50,N RIDGE
63642760,5251TX,IL,TXI,TOYT,2013-11-09 06:10:00,6326 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",17392,24,Notice,Did Not Challenge,41.996287,-87.676086,40,N RIDGE
64128703,4513TX,IL,TXI,TOYT,2014-02-14 06:15:00,6359 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",17392,24,Dismissed,Not Liable,41.997262,-87.67639399999999,40,N RIDGE
64131211,4831TX,IL,TXI,FORD,2014-01-22 06:30:00,7303 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",18004,24,Define,Did Not Challenge,42.014112,-87.68363000000001,49,N RIDGE
56134991,5699TX,IL,TXI,FORD,2009-02-13 03:45:00,6927 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",14755,24,Paid,Did Not Challenge,42.006703,-87.680771,49,N RIDGE
58840480,20077TX,IL,TXI,FORD,2010-09-28 06:26:00,7230 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",14334,24,Paid,Did Not Challenge,42.012828000000006,-87.683322,49,N RIDGE
58843294,6871TX,IL,TXI,FORD,2010-10-07 06:42:00,7250 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",14334,24,Paid,Did Not Challenge,42.013177,-87.683414,49,N RIDGE
58844101,25411TX,IL,TXI,FORD,2010-10-19 06:23:00,6825 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",14334,24,Notice,Did Not Challenge,42.005531,-87.68023199999999,49,N RIDGE
58962604,5419TX,IL,TXI,DODG,2010-10-27 06:21:00,7309 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",14334,24,Paid,Did Not Challenge,42.014288,-87.683696,49,N RIDGE
59659012,1958TX,IL,TXI,FORD,2011-04-25 06:31:00,6909 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",14334,24,Paid,Did Not Challenge,42.006535,-87.68069200000001,49,N RIDGE
60031274,5076TX,IL,TXI,FORD,2011-08-24 07:05:00,7416 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",17392,24,Dismissed,Liable,42.016304,-87.68434599999999,49,N RIDGE
60367363,1615TX,IL,TXI,FORD,2011-09-30 06:26:00,7309 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",14334,24,Paid,Did Not Challenge,42.014288,-87.683696,49,N RIDGE
60456235,6180TX,IL,TXI,CHEV,2011-12-16 07:24:00,6827 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",14334,24,Define,Did Not Challenge,42.005557,-87.68024100000001,49,N RIDGE
60671271,29513TX,IL,TXI,CHEV,2012-02-08 06:27:00,7009 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",14334,24,Paid,Did Not Challenge,42.009071,-87.681846,49,N RIDGE
60372901,5710TX,IL,TXI,FORD,2012-02-23 06:24:00,6820 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",14334,24,Dismissed,Not Liable,42.005433000000004,-87.680357,50,N RIDGE
61074272,3836TX,IL,TXI,CHEV,2012-03-23 06:16:00,6901 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",14334,24,Define,Did Not Challenge,42.006436,-87.680737,49,N RIDGE
61854900,6318TX,IL,TXI,FORD,2012-09-03 06:15:00,6313 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",17392,24,Dismissed,Not Liable,41.995926000000004,-87.675801,40,N RIDGE
62037776,1753TX,IL,TXI,FORD,2012-11-16 06:25:00,6811 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",18004,24,Paid,Did Not Challenge,42.005356,-87.680143,49,N RIDGE
63643485,535TX,IL,TXI,FORD,2013-11-01 06:34:00,6911 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",18014,24,Define,Did Not Challenge,42.006554,-87.68069799999999,49,N RIDGE
65176809,1731TX,IL,TXI,TOYT,2014-08-13 09:05:00,7459 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",19399,24,Dismissed,Not Liable,42.017231,-87.684292,49,N RIDGE
65815196,596TX,IL,TXI,FORD,2015-04-04 09:17:00,7106 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",16484,24,Dismissed,Not Liable,42.011297,-87.682799,50,N RIDGE
56298975,6687TX,IL,TXI,FORD,2009-04-10 07:20:00,6910 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",17392,24,Paid,Did Not Challenge,42.006505,-87.68084,50,N RIDGE
57913204,4379TX,IL,TXI,FORD,2009-12-07 06:20:00,6377 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",17392,24,Paid,Did Not Challenge,41.997583,-87.676563,40,N RIDGE
58053283,6048TX,IL,TXI,DODG,2010-02-26 08:21:00,6917 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",13495,24,Paid,Did Not Challenge,42.006609999999995,-87.680718,49,N RIDGE
59199018,5425TX,IL,TXI,FORD,2010-03-29 06:10:00,6319 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",17392,24,Paid,Did Not Challenge,41.996102,-87.675862,40,N RIDGE
58844555,5008TX,IL,TXI,FORD,2010-10-11 06:45:00,7125 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",14334,24,Dismissed,Not Liable,42.011511999999996,-87.68271700000001,49,N RIDGE
58966854,1934TX,IL,TXI,FORD,2010-11-26 07:30:00,6920 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",17392,24,Define,Did Not Challenge,42.006598,-87.680894,50,N RIDGE
59128531,6031TX,IL,TXI,FORD,2011-01-19 06:40:00,7045 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",14334,24,Dismissed,Not Liable,42.009471000000005,-87.681974,49,N RIDGE
59449164,5183TX,IL,TXI,FORD,2011-02-09 06:29:00,6953 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",14334,24,Paid,Denied,42.006945,-87.68085400000001,49,N RIDGE
59126012,6031TX,IL,TXI,FORD,2011-02-15 06:32:00,7067 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",14334,24,Dismissed,Not Liable,42.009718,-87.68204,49,N RIDGE
59125954,6148TX,IL,TXI,SCIO,2011-03-10 06:27:00,7224 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",14334,24,Paid,Did Not Challenge,42.012723,-87.683295,49,N RIDGE
59526419,1859TX,IL,TXI,TOYT,2011-03-14 06:28:00,7303 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",14334,24,Paid,Did Not Challenge,42.014112,-87.68363000000001,49,N RIDGE
59450454,1037TX,IL,TXI,FORD,2011-03-03 06:25:00,6900 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",17392,24,Dismissed,Not Liable,42.006436,-87.680737,49,N RIDGE
59527703,6148TX,IL,TXI,FORD,2011-03-23 06:28:00,7220 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",17392,24,Define,Did Not Challenge,42.012653,-87.683276,49,N RIDGE
59529082,4127TX,IL,TXI,FORD,2011-04-12 06:17:00,6916 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",14334,24,Paid,Did Not Challenge,42.006561,-87.680859,50,N RIDGE
59659043,4037TX,IL,TXI,DODG,2011-04-26 06:25:00,7539 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",14334,24,Dismissed,Not Liable,42.018752,-87.684465,49,N RIDGE
59530402,2043TX,IL,TXI,FORD,2011-04-20 06:19:00,7028 N RIDGE,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",14334,24,Paid,Did Not Challenge,42.009254,-87.68207199999999,50,N RIDGE
