gid,gisjoin,total_pop,native_pop,forgn_pop,forgn_pct,res_tickets
251,G17003105203003,1129,718,411,0.36404,1
2026,G17003102420002,1802,1515,287,0.15927,3
264,G17003103510001,1011,970,41,0.04055,21
1070,G17003103907002,1466,1377,89,0.06071,18
1350,G17003103812002,1302,1265,37,0.02842,23
1209,G17003107104005,1129,1066,63,0.0558,3
496,G17003102517001,1805,1668,137,0.0759,2
2311,G17003107107001,555,553,2,0.0036,1
1101,G17003107304004,908,908,0,0,1
276,G17003105302002,1330,1330,0,0,2
599,G17003100608001,1532,1242,290,0.1893,8
2285,G17003107506002,959,959,0,0,1
1789,G17003102003002,1070,615,455,0.42523,7
2247,G17003106713003,388,388,0,0,1
1820,G17003101002005,763,637,126,0.16514,43
437,G17003108122004,855,727,128,0.14971,3
1283,G17003107608033,1807,876,931,0.51522,343
2310,G17003107106001,1019,1019,0,0,25
1314,G17003107505004,1655,1655,0,0,1
25,G17003104105002,1373,1330,43,0.03132,3
359,G17003104603023,739,704,35,0.04736,17
1060,G17003106304002,1661,808,853,0.51355,2
26,G17003104106002,942,828,114,0.12102,7
2328,G17003102432001,1228,932,296,0.24104,7
1478,G17003108331003,2672,2297,375,0.14034,1
1543,G17003101001002,1724,1243,481,0.279,25
1229,G17003100702002,1013,1013,0,0,3
1662,G17003102415002,777,626,151,0.19434,1
136,G17003104212001,949,949,0,0,10
2150,G17003106605004,1630,958,672,0.41227,11
1741,G17003101609001,1347,1033,314,0.23311,3
2261,G17003100622002,1394,1346,48,0.03443,4
1726,G17003101601001,1558,1140,418,0.26829,17
1171,G17003100315013,1221,867,354,0.28993,79
2206,G17003108308002,520,414,106,0.20385,3
1146,G17003103302001,827,539,288,0.34825,1
667,G17003100308001,1191,972,219,0.18388,5
449,G17003102306002,1558,1476,82,0.05263,1
899,G17003102426004,1425,1362,63,0.04421,2
149,G17003105804001,1185,732,453,0.38228,4
307,G17003106103001,2244,1324,920,0.40998,5
706,G17003100715004,1107,969,138,0.12466,2
541,G17003102515004,1519,1506,13,0.00856,1
1582,G17003101502002,1665,1008,657,0.39459,224
1100,G17003106501004,789,495,294,0.37262,4
1408,G17003106503014,1274,891,383,0.30063,3
1065,G17003108430001,1704,1704,0,0,4
537,G17003100313003,596,321,275,0.46141,9
2300,G17003107104002,686,686,0,0,1
489,G17003100106002,844,599,245,0.29028,120
974,G17003108398003,846,616,230,0.27187,1
1757,G17003101708001,1207,767,440,0.36454,3
1320,G17003100701013,1169,1053,116,0.09923,3
357,G17003104603021,934,905,29,0.03105,15
241,G17003104402022,982,962,20,0.02037,2
958,G17003100602001,892,829,63,0.07063,4
325,G17003104601004,798,586,212,0.26566,57
17,G17003108431001,1672,1627,45,0.02691,1
1021,G17003104605003,1003,1003,0,0,5
142,G17003104914001,521,521,0,0,2
1999,G17003102405001,2154,1857,297,0.13788,3
861,G17003101708003,1384,883,501,0.36199,32
1333,G17003102206024,1898,1640,258,0.13593,2
816,G17003102002001,1035,685,350,0.33816,1
1783,G17003100818001,3435,2954,481,0.14003,1
1079,G17003104804002,513,479,34,0.06628,2
1740,G17003101608005,1164,765,399,0.34278,11
524,G17003100313001,1242,702,540,0.43478,123
644,G17003108315001,2141,1049,1092,0.51004,17
296,G17003108343003,411,381,30,0.07299,1
282,G17003108399001,638,552,86,0.1348,4
1389,G17003107608032,1714,815,899,0.5245,25
655,G17003108324002,1326,1003,323,0.24359,3
2019,G17003106715002,1460,1366,94,0.06438,9
617,G17003107102002,852,852,0,0,1
995,G17003101404003,1110,724,386,0.34775,14
167,G17003104302003,1030,931,99,0.09612,10
1569,G17003101907022,2267,1137,1130,0.49846,1
2266,G17003100628003,1429,1341,88,0.06158,1
1488,G17003100202003,1689,1245,444,0.26288,57
1982,G17003108356002,399,399,0,0,1
458,G17003108439001,638,635,3,0.0047,7
198,G17003104306001,705,702,3,0.00426,15
71,G17003104110003,1375,1114,261,0.18982,3
588,G17003106604002,1877,1157,720,0.38359,11
1606,G17003105805012,648,419,229,0.3534,1
1026,G17003104607003,389,292,97,0.24936,8
624,G17003107608021,2401,1826,575,0.23948,27
626,G17003104601002,1134,1076,58,0.05115,57
1264,G17003107307002,1143,1137,6,0.00525,2
823,G17003101303001,552,116,436,0.78986,134
1528,G17003107003022,979,790,189,0.19305,1
480,G17003100632004,1395,947,448,0.32115,3
280,G17003108398002,1114,714,400,0.35907,5
1981,G17003108356001,551,549,2,0.00363,1
314,G17003102520001,776,714,62,0.0799,4
1902,G17003101503001,1032,802,230,0.22287,25
595,G17003100307032,544,182,362,0.66544,5
1717,G17003101508004,1581,1304,277,0.17521,13
1958,G17003101705004,1110,829,281,0.25315,5
